mass,damping,speed,scale,group,value,end_time,stop,theta_peak,r_peak,chi_peak,near_zero,final_theta,final_r,final_chi,force_peak,torque_peak
2.3,6.5,2.375,4,r,0.001,30,0,0.0655808383246742,0.001,0.247864061028454,1,2.3926550523507e-08,3.5883028154417e-10,-7.95871396433804e-07,0.114693166192606,1.10341757835849e-06
2.3,6.5,2.375,4,r,0.005,30,0,0.327966215184779,0.005,1.23969861371157,1,2.99154121681697e-06,4.48646191614008e-08,-9.95079538682452e-05,0.573465830963029,2.75965264437691e-05
2.3,6.5,2.375,4,r,0.01,30,0,0.656319791422452,0.01,2.48176213981408,1,2.3950429012851e-05,3.59188391047266e-07,-0.000796665669169209,1.14693166192606,0.000110524682468433
2.3,6.5,2.375,4,chi,1,30,0,0.107293518996009,0.00164566053351633,1.01658160775962,1,2.37560954153399e-08,3.56273939191643e-10,-7.90201530030298e-07,0.106539186900783,7.19178665851501e-06
2.3,6.5,2.375,4,chi,5,30,0,0.537343806575554,0.00823579619438406,5.08290633865575,1,2.95047337223834e-06,4.42487181684269e-08,-9.81419097837253e-05,0.532695934503913,0.00018036191513446
2.3,6.5,2.375,4,chi,10,30,0,1.08031380341033,0.0165184693415919,10.1658020511697,1,2.310570232848e-05,3.46519890693634e-07,-0.000768567435577615,1.06539186900783,0.000728730229660963
2.3,6.5,1,0.5,theta,1e-05,30,0,0.0160803159820195,0.000145459974734842,0.558033938153409,0,7.65992677487193e-05,7.49178468785317e-07,-0.558033938153409,0.00419645435959419,7.61066872891636e-08
2.3,6.5,1,0.5,theta,0.0001,30,0,0.161715631261476,0.00146277508617817,5.6139178829189,0,-0.000866772620719109,-7.24263527048791e-06,-5.60343495564761,0.0422043334963291,7.55602299603613e-06
2.3,6.5,1,0.5,theta,0.001,10.5949048175767,2,57.6106057608464,0.50000000000012,111.232678280843,0,57.6106057608464,0.50000000000012,-111.232678280843,21.9276273941864,0.28227259533244
2.3,6.5,1,0.5,theta,0.01,4.59300323554226,2,57.6059191504697,0.500000000000056,85.8902767676045,0,57.6059191504697,0.500000000000056,-85.8902767676045,21.9231114912775,0.283585731606128
2.3,6.5,1,0.5,theta,0.1,2.39825316431877,2,57.6591044518314,0.50000000000003,66.953372643773,0,57.6591044518314,0.50000000000003,-66.953372643773,22.0292332929748,0.287674246615849
2.3,6.5,1,0.5,theta,1,1.19954911278008,2,56.8452780879948,0.500000000000014,44.7244427663724,0,56.8452780879948,0.500000000000014,-44.7244427663724,21.5765955607618,0.275065594997008
2.3,6.5,1,0.5,theta,5,0.65089903574637,2,58.4202880977814,0.5,28.765588981797,0,58.4202880977814,0.5,-28.765588981797,23.4796028181099,0.250352146811844
2.3,6.5,1,1,theta,1e-05,30,0,0.00137201326073408,1.25278578126083e-05,0.0234797186785858,1,1.00000600739674e-05,1.49972122431211e-07,-0.0234797186785858,0.000357817319996785,9.10555531343097e-10
2.3,6.5,1,1,theta,0.0001,30,0,0.0137202031277482,0.000125279209763514,0.234797176101461,0,0.000100000585897608,1.49972106427169e-06,-0.234797176101461,0.00357819220400512,9.10567240405376e-08
2.3,6.5,1,1,theta,0.001,30,0,0.13727257307987,0.00125342391384515,2.34796127608673,0,0.000999991151939881,1.49970518411393e-05,-2.34796108920271,0.0358009320899871,9.11591430170714e-06
2.3,6.5,1,1,theta,0.01,30,0,1.46093189944153,0.0133243366955314,24.7273938024267,0,0.0100061703639716,0.000150004049802863,-23.4709880597253,0.381689387818352,0.00103942343725348
2.3,6.5,1,1,theta,0.1,2.9346364268348,2,55.7567534445337,0.500000000000027,75.9663617055226,0,55.7567534445337,0.500000000000027,-75.9663617055226,20.4527469088112,0.261200983474077
2.3,6.5,1,1,theta,1,1.27051275221406,2,55.5330790791638,0.500000000000012,45.8629312540383,0,55.5330790791638,0.500000000000012,-45.8629312540383,20.5768266468414,0.259578540055979
2.3,6.5,1,1,theta,5,0.647167877166609,2,55.2838602403681,0.5,25.6744221341488,0,55.2838602403681,0.5,-25.6744221341488,19.7560411865163,0.218617438735169
